"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000102855",0,0,0,0,0,0
"ENSMUSG00000102856",4,0,3,5,5,9
"ENSMUSG00000102857",0,0,0,0,0,0
"ENSMUSG00000102858",101.71,72.01,102.87,178.85,245.52,218.42
"ENSMUSG00000102859",0,0,0,0,0,0
"ENSMUSG00000102860",0,0,0,0,0,0
"ENSMUSG00000102863",2,7,4,12,5,13
"ENSMUSG00000102865",0,0,0,0,1,0
"ENSMUSG00000102866",0,0,0,0,0,0
"ENSMUSG00000102868",1,0,2,1,1.24,0.69
"ENSMUSG00000102870",0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,0
"ENSMUSG00000102872",0,0,0,0,1,0
"ENSMUSG00000102874",0,0,0,0,0,0
"ENSMUSG00000102875",1.46,1.03,1,3.01,4.99,5
"ENSMUSG00000102876",0,0,0,0,0,0
"ENSMUSG00000102877",0,0,0,0,0,0
"ENSMUSG00000102878",0,0,0,0,0,0
"ENSMUSG00000102879",0,0,0,0,0,0
"ENSMUSG00000102880",0,0,0,0,0,0
"ENSMUSG00000102881",0,4,2,13,16,13
"ENSMUSG00000102882",0,0,0,0,0,0
"ENSMUSG00000102883",0,0,0,0,0,0
"ENSMUSG00000102884",0,0,0,0,0,0
"ENSMUSG00000102888",0,0,0,0,0,0
"ENSMUSG00000102889",0.5,0.72,2.24,0.95,0,0.48
"ENSMUSG00000102890",0,0,0,0,0,0
"ENSMUSG00000102891",0,0,0,0,0,0
"ENSMUSG00000102894",0,0,0,0,0,0
"ENSMUSG00000102895",1,0,0,5,21,6
"ENSMUSG00000102896",0,0,0,0,1,0
"ENSMUSG00000102900",0,0,0,0,0,0
"ENSMUSG00000102901",0,0,0,0,0,0
"ENSMUSG00000102902",0,0,0,0,0,0
"ENSMUSG00000102903",0,0,0,0,0,0
"ENSMUSG00000102904",0,0,0,0,0,0
"ENSMUSG00000102905",0,0,0,0,0,0
"ENSMUSG00000102906",0,0,0,0,0,0
"ENSMUSG00000102907",0,0,0,0,0,0
"ENSMUSG00000102908",0,0,0,1,1,3
"ENSMUSG00000102910",0,0,0,0,0,0
"ENSMUSG00000102911",0,0,0,0,0,0
"ENSMUSG00000102912",4.01,2,1.32,1,2,1
"ENSMUSG00000102913",0,0,0,0,0,0
"ENSMUSG00000102914",0,0,0,0,0,0
"ENSMUSG00000102915",0,0,0,0,1,0
"ENSMUSG00000102916",0,0,0,0,0,0
"ENSMUSG00000102918",566.83,415.52,503.5,523.23,655.09,610.18
"ENSMUSG00000102919",0,2,0,11,5,13
"ENSMUSG00000102920",0,0,0,0,0,0
"ENSMUSG00000102921",0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0
"ENSMUSG00000102925",0,0,0,0,0,0
"ENSMUSG00000102926",0,0,0,0,0,0
"ENSMUSG00000102927",0,0,0,0,2,0
"ENSMUSG00000102928",0,0,0,0,0,0
"ENSMUSG00000102929",3,4,2,10,10,9
"ENSMUSG00000102931",0,0,0,0,0,0
"ENSMUSG00000102932",0,0,0,0,0,0
"ENSMUSG00000102933",1.64,2.11,3.99,3,3.15,0
"ENSMUSG00000102934",0,0,0,0,0,0
"ENSMUSG00000102935",0,0,0,1,1,4
"ENSMUSG00000102937",0,0,0,0,0,0
"ENSMUSG00000102939",0,0,0,0,0,0
"ENSMUSG00000102940",0,0,0,1,1,3
"ENSMUSG00000102942",0,0,0,0,0,0
"ENSMUSG00000102943",0,0,0,0,0,0
"ENSMUSG00000102945",0,0,0,0,0,0
"ENSMUSG00000102946",0,0,0,0,0,0
"ENSMUSG00000102948",0,0,0,0,0,0
"ENSMUSG00000102949",0,0,0,0,0,0
"ENSMUSG00000102950",0,1,0,0,0,0
"ENSMUSG00000102951",0,1,0,0,0,0
"ENSMUSG00000102952",0,0,0,0,0,0
"ENSMUSG00000102953",4,3,5,6,7,8
"ENSMUSG00000102955",0,0,0,0,0,0
"ENSMUSG00000102956",0,0,0,0,0,0
"ENSMUSG00000102957",0,0,0,0,0,0
"ENSMUSG00000102958",0,0,0,0,0,0
"ENSMUSG00000102959",0,0,0,0,0,0
"ENSMUSG00000102960",1.73,7.68,10.31,2.57,4.61,5.04
"ENSMUSG00000102961",26.55,6.93,10.69,27.28,60.52,14.28
"ENSMUSG00000102962",0,0,0,0,0,0
"ENSMUSG00000102963",0,0,0,0,0,0
"ENSMUSG00000102964",10,8,7,24,21.02,33
"ENSMUSG00000102965",0,0,0,0,0,0
"ENSMUSG00000102966",0,0,0,0,0,0
"ENSMUSG00000102967",0,0,0,0,0,0
"ENSMUSG00000102969",1,0,0,1,1,2
"ENSMUSG00000102970",0,5.02,7.02,4.41,1.57,2
"ENSMUSG00000102971",0,0,0,0,0,0
"ENSMUSG00000102972",0,0,0,2,0,0
"ENSMUSG00000102973",0,0,0,0,0,0
"ENSMUSG00000102975",0,0,0,0,1,0
"ENSMUSG00000102976",725.62,707.77,778.1,2164.1,2637.47,1700.61
"ENSMUSG00000102980",0,0,0,0,0,0
"ENSMUSG00000102981",0,0,1,0,0,0
"ENSMUSG00000102982",10.44,8.65,7.05,18.13,26.38,25.2
"ENSMUSG00000102983",0,0,0,0,0,1
"ENSMUSG00000102984",0,0,0,0,0,0
"ENSMUSG00000102985",0,0,0,0,0,2
"ENSMUSG00000102986",0,0,0,0,0,0
"ENSMUSG00000102988",0,0,0,0,0,0
"ENSMUSG00000102989",0,0,0,0,0,0
"ENSMUSG00000102990",0,0,0,0,0,0
"ENSMUSG00000102991",0,0,0,0,0,0
"ENSMUSG00000102992",0,0,0,0,0,0
"ENSMUSG00000102993",0,0,0,0,0,0
"ENSMUSG00000102994",12.43,5.47,6.56,18.65,33.02,32.08
"ENSMUSG00000102995",0,0,0,0,0,0
"ENSMUSG00000102997",0,0,1,0,1.21,0
"ENSMUSG00000102998",0,0,0,0,0,0
"ENSMUSG00000102999",0,0,0,1,0,0
"ENSMUSG00000103000",0,1,0,2.01,4.28,3.96
"ENSMUSG00000103001",0,0,0,0,0,0
"ENSMUSG00000103002",0,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0
"ENSMUSG00000103004",0,0,0,0,0,0
"ENSMUSG00000103006",1,1,0,4,8,5
"ENSMUSG00000103007",0,0,0,0,0,0
"ENSMUSG00000103008",0,0,0,0,0,0
"ENSMUSG00000103009",13.13,13.08,7.04,49.31,46.2,53.17
"ENSMUSG00000103010",0,0,0,0,0,0
"ENSMUSG00000103011",0,0,0,0,0,0
"ENSMUSG00000103012",0,0,0,0,0,0
"ENSMUSG00000103013",0,0,0,0,0,0
"ENSMUSG00000103015",0,0,0,0,0,0
"ENSMUSG00000103016",0,0,0,0,0,0
"ENSMUSG00000103017",0,0,0,0,0,0
"ENSMUSG00000103018",0,3,3,10,7,2
"ENSMUSG00000103020",0,0,0,0,0,0
"ENSMUSG00000103021",0,0,0,0,0,0
"ENSMUSG00000103023",0,0,0,0,0,0
"ENSMUSG00000103024",1,2,2,1,3,3
"ENSMUSG00000103025",0,0,0,0,0,0
"ENSMUSG00000103026",0,0,0,0,0,0
"ENSMUSG00000103027",0,0,0,0,0,0
"ENSMUSG00000103028",0,0,0,0,0,0
"ENSMUSG00000103030",0,0,2,6,10,9.02
"ENSMUSG00000103031",0,0,0,0,0,0
"ENSMUSG00000103032",8,3,5,22,26,22
"ENSMUSG00000103033",0,0,0,0,0,0
"ENSMUSG00000103034",7.54,8.61,10.56,11.44,4.78,7.59
"ENSMUSG00000103035",0,0,0,0,0,0
"ENSMUSG00000103037",0,0,0,0,0,0
"ENSMUSG00000103038",0,0,1,0,2,1
"ENSMUSG00000103039",54,47,42.14,44,47.38,42.01
"ENSMUSG00000103042",0,0,0,0,0,0
"ENSMUSG00000103044",0,0,0,0,0,0
"ENSMUSG00000103045",0,0,0,0,0,0
"ENSMUSG00000103046",4,3,7,6,11,15
"ENSMUSG00000103047",0,0,0,0,0,0
"ENSMUSG00000103049",0,1,0,5,8,4
"ENSMUSG00000103050",0,0,0,0,1,0
"ENSMUSG00000103051",0,0,0,0,1,2
"ENSMUSG00000103052",0,0,0,0,0,0
"ENSMUSG00000103053",7.63,5.95,5.85,6.9,13.69,7.92
"ENSMUSG00000103054",0,0,0,0,0,0
"ENSMUSG00000103055",0,0,0,0,0,0
"ENSMUSG00000103056",0,0,0,0,0,0
"ENSMUSG00000103058",0,0,0,0,0,0
"ENSMUSG00000103059",0,0,0,0,0,0
"ENSMUSG00000103060",0,0,0,0,0,0
"ENSMUSG00000103061",0,0,0,0,0,0
"ENSMUSG00000103062",1,2,2,2,3,2
"ENSMUSG00000103063",0,0,0,0,0,0
"ENSMUSG00000103064",0,0,0,0,0,0
"ENSMUSG00000103065",0.5,0.5,0,2.5,4.5,4.5
"ENSMUSG00000103066",0,0,0,0,0,0
"ENSMUSG00000103069",0,0,0,0,0,0
"ENSMUSG00000103070",2.07,4.53,1.95,18.86,21.68,22.89
"ENSMUSG00000103071",66.35,54.91,55.14,96.18,142.03,154.34
"ENSMUSG00000103072",0,0,1,0,1.01,0
"ENSMUSG00000103073",0,0,0,0,0,0
"ENSMUSG00000103074",0,0,0,0,0,0
"ENSMUSG00000103075",0,0,0,0,0,0
"ENSMUSG00000103076",7,5,4,32,21,32
"ENSMUSG00000103078",0,0,0,0,0,0
"ENSMUSG00000103080",0,1,1,1.97,1,0
"ENSMUSG00000103081",0,1.88,0,3.73,0,0
"ENSMUSG00000103082",0,0,0,0,0,0
"ENSMUSG00000103084",0,0,0,0,0,0
"ENSMUSG00000103085",0,2.91,0,3.08,4.24,1.01
"ENSMUSG00000103086",0,0,0,0,0,0
"ENSMUSG00000103087",0,0,0,0,0,0
"ENSMUSG00000103088",0,0,0,0,0,0
"ENSMUSG00000103089",0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0
"ENSMUSG00000103091",0,0,0,0,0,0
"ENSMUSG00000103092",0,0,0,0,0,0
"ENSMUSG00000103094",1,1,2,4,5,3
"ENSMUSG00000103095",0,0,0,0,0,0
"ENSMUSG00000103096",0,0,0,0,0,0
"ENSMUSG00000103097",0,0,0,0,0,0
"ENSMUSG00000103098",0,0,0,1,0,1
"ENSMUSG00000103099",0,0,0,0,0,0
"ENSMUSG00000103100",0,0,0,0,0,0
"ENSMUSG00000103101",0,0,0,1,0,0
"ENSMUSG00000103102",1,3,5.21,4,0,0
"ENSMUSG00000103105",0,0,0,0,0,0
"ENSMUSG00000103106",0,0,0,0,0,0
"ENSMUSG00000103107",0,0,0,0,0,0
"ENSMUSG00000103110",0,0,0,0,0,0
"ENSMUSG00000103111",0,0,0,0,0,0
"ENSMUSG00000103112",0,0,0,0,0,0
"ENSMUSG00000103113",0,0,0,0,0,0
"ENSMUSG00000103118",0,0,0,0,0,0
"ENSMUSG00000103119",35.78,80.02,55.01,28,28.11,19
"ENSMUSG00000103120",0,0,0,0,1,0
"ENSMUSG00000103121",0,0,0,0,0,0
"ENSMUSG00000103122",0,0,0,0,0,0
"ENSMUSG00000103123",0,0,0,0,0,0
"ENSMUSG00000103124",0,0,0,0,0,0
"ENSMUSG00000103125",0,0,0,0,0,0
"ENSMUSG00000103127",0,0,0,0,0,0
"ENSMUSG00000103129",0,0,0,0,0,0
"ENSMUSG00000103130",0,0,0,0,0,0
"ENSMUSG00000103131",0,0,0,0,0,0
"ENSMUSG00000103132",0,1,0,1,0,1
"ENSMUSG00000103133",1,2,1,7,7,12
"ENSMUSG00000103135",0,0,0,1,0,3
"ENSMUSG00000103136",0,0,0,0,0,0
"ENSMUSG00000103137",0,0,0,0,0,0
"ENSMUSG00000103138",0,0,0,0,0,0
"ENSMUSG00000103140",0,0,0,0,0,0
"ENSMUSG00000103141",0,0,0,0,1,0
"ENSMUSG00000103142",0,0,0,0,0,0
"ENSMUSG00000103143",0,0,0,0,2,2
"ENSMUSG00000103144",5.53,0,3,24,21.05,19
"ENSMUSG00000103145",0,0,0,0,0,0
"ENSMUSG00000103146",0,1,0,0,1,1
"ENSMUSG00000103147",0,0,0,0,0,0
"ENSMUSG00000103148",1,0,0,2.88,1,0
"ENSMUSG00000103149",2,2,2,4,10,9
"ENSMUSG00000103150",0,0,0,0,0,0
"ENSMUSG00000103151",0,0,0,0,0,2
"ENSMUSG00000103152",0,0,0,0,0,0
"ENSMUSG00000103153",0,0,0,0,0,0
"ENSMUSG00000103154",0,0,0,0,0,0
"ENSMUSG00000103155",0,0,0,0,0,0
"ENSMUSG00000103157",0,0,0,0,0,0
"ENSMUSG00000103159",0,0,0,1,1,0
"ENSMUSG00000103160",0,0,0,3,4,4
"ENSMUSG00000103161",2,10,3.21,10.34,13.36,13.99
"ENSMUSG00000103162",0,0,1,0,0,1
"ENSMUSG00000103163",0,0,0,0,0,0
"ENSMUSG00000103165",1,1,0,2,0,2
"ENSMUSG00000103166",0,0,0,0,0,0
"ENSMUSG00000103167",0,0,0,0,0,0
"ENSMUSG00000103172",0,0,0,0,0,0
"ENSMUSG00000103175",1,2,4.63,2.39,3,1
"ENSMUSG00000103177",0,0,0,0,0,0
"ENSMUSG00000103178",0,0,0,0,0,0
"ENSMUSG00000103179",0,0,0,0,0,0
"ENSMUSG00000103180",0,0,0,0,0,0
"ENSMUSG00000103182",24.35,35.2,19.16,190.28,319.85,325.56
"ENSMUSG00000103183",5,2,4,3,8,2
"ENSMUSG00000103184",0,0,0,0,0,0
"ENSMUSG00000103185",0,0,0,0,0,0
"ENSMUSG00000103186",0,0,0,1,0,1
"ENSMUSG00000103187",0,0,0,1,0,0
"ENSMUSG00000103188",0,0,0,0,0,0
"ENSMUSG00000103189",0,0,0,0,0,0
"ENSMUSG00000103191",0,0,0,0,0,0
"ENSMUSG00000103192",6,4,2,7,14,23
"ENSMUSG00000103193",0,0,0,0,0,0
"ENSMUSG00000103194",0,0,0,0,0,0
"ENSMUSG00000103195",0,0,0,0,0,0
"ENSMUSG00000103196",0,0,0,0,0,0
"ENSMUSG00000103197",0,0,1,5,5,10
"ENSMUSG00000103198",0,0,0,0,0,0
"ENSMUSG00000103199",2,1,1,4,4,5
"ENSMUSG00000103201",0,0,0,0,0,0
"ENSMUSG00000103202",0,1,0,0,0,0
"ENSMUSG00000103206",0,0,0,0,0,0
"ENSMUSG00000103207",0,0,1,0,0,1
"ENSMUSG00000103208",0,0,0,0,0,0
"ENSMUSG00000103209",0,0,0,0,0,0
"ENSMUSG00000103210",1.78,0,0,0,0,1.06
"ENSMUSG00000103211",0,0,0,0,0,0
"ENSMUSG00000103213",1,0,0,1,0,2
"ENSMUSG00000103214",0,0,0,0,0,0
"ENSMUSG00000103215",0,0,0,0,0,0
"ENSMUSG00000103216",0,0,0,0,0,0
"ENSMUSG00000103218",0,0,0,0,0,0
"ENSMUSG00000103220",0,2,2,2,3,2
"ENSMUSG00000103221",0,0,0,0,0,0
"ENSMUSG00000103222",0,0,0,2,0,0
"ENSMUSG00000103223",0,0,0,0,0,0
"ENSMUSG00000103224",0,0,0,0,0,0
"ENSMUSG00000103225",0,0,0,0,0,0
"ENSMUSG00000103226",0,0,0,0,0,0
"ENSMUSG00000103227",1.03,6.43,6.32,5.57,5.5,4.2
"ENSMUSG00000103228",0,0,0,0,0,0
"ENSMUSG00000103230",0,0,0,0,0,0
"ENSMUSG00000103231",0,0,0,0,0,0
"ENSMUSG00000103232",0,0,0,0,0,1
"ENSMUSG00000103233",0,0,0,0,0,0
"ENSMUSG00000103234",41.41,71.33,75.56,307.36,302.51,424.54
"ENSMUSG00000103237",0,0,0,0,0,0
"ENSMUSG00000103238",2,0,1,2,3,2
"ENSMUSG00000103239",0,0,0,0,0,0
"ENSMUSG00000103240",0,0,0,0,0,0
"ENSMUSG00000103241",0,0,0,0,0,0
"ENSMUSG00000103242",0,0,0,0,0,0
"ENSMUSG00000103243",0,1,0,18,22.15,24.43
"ENSMUSG00000103244",0,0.37,0,0,0,0
"ENSMUSG00000103245",0,0,0,0,0,0
"ENSMUSG00000103246",0,0,0,0,0,0
"ENSMUSG00000103247",0,0,0,0,1,3
"ENSMUSG00000103248",0,0,0,0,0,0
"ENSMUSG00000103249",0,0,0,0,0,0
"ENSMUSG00000103250",0,0,0,0,0,0
"ENSMUSG00000103251",0,1,0,0,1,2
"ENSMUSG00000103252",4,0,0,3,2.75,3
"ENSMUSG00000103253",0,0,0,0,0,0
"ENSMUSG00000103254",0,0,0,0,0,0
"ENSMUSG00000103255",0,0,0,0,0,0
"ENSMUSG00000103256",0,1,0,0,0,0
"ENSMUSG00000103257",0,0,0,0,0,0
"ENSMUSG00000103258",0,0,0,0,0,0.61
"ENSMUSG00000103259",0,0,0,0,0,0
"ENSMUSG00000103260",0,0,0,0,0,0
"ENSMUSG00000103261",0,0,0,0,1,0
"ENSMUSG00000103262",0,0,0,0,0,0
"ENSMUSG00000103263",0,0,0,0,0,0
"ENSMUSG00000103264",0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0
"ENSMUSG00000103266",0,0,0,0,0,0
"ENSMUSG00000103267",0,0,0,0,0,0
"ENSMUSG00000103269",0,0,0,0,0,0
"ENSMUSG00000103271",0,0,0,0,1,1
"ENSMUSG00000103272",0,0,1,4,5,5.99
"ENSMUSG00000103273",260.24,321.29,348.1,112.85,119.51,74.42
"ENSMUSG00000103274",0,0,0,0,0,0
"ENSMUSG00000103275",0,0,0,0,0,0
"ENSMUSG00000103276",69.21,59.38,49.93,118.76,86.12,128.95
"ENSMUSG00000103277",0,0,0,0,0,0
"ENSMUSG00000103279",0,0,0,0,0,0
"ENSMUSG00000103280",0,1,0,2,0,0
"ENSMUSG00000103281",0,0,0,0,0,0
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000103284",0,0,0,0,0,0
"ENSMUSG00000103285",1,0,0,3,3,4
"ENSMUSG00000103286",0,0,0,0,0,0
"ENSMUSG00000103287",0,0,0,0,0,0
"ENSMUSG00000103289",0,2,0,0,2,1
"ENSMUSG00000103290",0,0,0,0,0,0
"ENSMUSG00000103291",0,0,0,0,0,0
"ENSMUSG00000103292",0,0,0,0,0,0
"ENSMUSG00000103293",0,0,0,1.68,0,1.39
"ENSMUSG00000103294",0,0,0,0,0,0
"ENSMUSG00000103295",0,0,1,0,0,0
"ENSMUSG00000103296",0,0,0,0,0,0
"ENSMUSG00000103297",0,0,0,0,0,0
"ENSMUSG00000103298",0,0,0,0,0,0
"ENSMUSG00000103299",0,0,0,0,0,0
"ENSMUSG00000103300",0,0,0,0,0,0
"ENSMUSG00000103301",0,0,0,0,0,0
"ENSMUSG00000103302",0,0,0,0,0,0
"ENSMUSG00000103303",0,0,0,0,0,0
"ENSMUSG00000103304",0,0,0,0,0,0
"ENSMUSG00000103306",0,0,0,0,0,0
"ENSMUSG00000103307",0,0,0,0,0,0
"ENSMUSG00000103310",0,0,0,0,0,0
"ENSMUSG00000103311",0,0,0,0,0,0
"ENSMUSG00000103312",0,0,0,0,0,0
"ENSMUSG00000103313",6,6,2,26,46,85
"ENSMUSG00000103314",6,3,1,7,2.65,2
"ENSMUSG00000103315",0,0,1,0,0,0
"ENSMUSG00000103317",0,0,0,0,1,0
"ENSMUSG00000103318",16.8,18.5,20.99,57.83,85.67,53.39
"ENSMUSG00000103320",0,0,0,0,0,0
"ENSMUSG00000103321",0,0,0,0,0,0
"ENSMUSG00000103322",2.57,5.35,1.38,18.42,13.05,12.86
"ENSMUSG00000103323",0,0,0,0,0,0
"ENSMUSG00000103324",0,1,1,5,1,2
"ENSMUSG00000103325",0,0,0,0,0,0
"ENSMUSG00000103327",0,0,0,0,0,0
"ENSMUSG00000103329",0,1,0,0,0,0
"ENSMUSG00000103330",0,0,0,0,0,0
"ENSMUSG00000103331",0,0,0,0,0,0
"ENSMUSG00000103332",0,0,0,1.84,1.86,0
"ENSMUSG00000103333",0,0,0,0,0,0
"ENSMUSG00000103336",0,0,0,0,0,0
"ENSMUSG00000103338",0,0,0,0,0,0
"ENSMUSG00000103339",0,0,0,0,0,0
"ENSMUSG00000103340",0,0,0,0,0,0
"ENSMUSG00000103341",0,0,0,0,0,0
"ENSMUSG00000103343",0,1,0,1,0,0
"ENSMUSG00000103345",0,0,0,0,0,0
"ENSMUSG00000103348",0,0,0,0,0,0
"ENSMUSG00000103350",0,0,0,0,0,0
"ENSMUSG00000103351",0,0,0,0,0,0
"ENSMUSG00000103353",0,0,0,0,0,0
"ENSMUSG00000103354",0,0,0,0,0,0
"ENSMUSG00000103355",0,0,0,0,0,0
"ENSMUSG00000103356",0,0,0,0,0,0
"ENSMUSG00000103357",0,0,0,0,0,0
"ENSMUSG00000103358",0,0,0,0,0,0
"ENSMUSG00000103360",0,0,0,0,1,0
"ENSMUSG00000103361",0,0,0,0,0,0
"ENSMUSG00000103362",0,0,0,0,0,0
"ENSMUSG00000103364",4.09,2.99,5.33,2.71,3.82,1.01
"ENSMUSG00000103366",0,0,0,0,0,0
"ENSMUSG00000103367",6,2,2,16,47,17
"ENSMUSG00000103368",0,0,0,0,0,0
"ENSMUSG00000103369",1,0,0,0,0,0
"ENSMUSG00000103370",0,0,0,0,0,0
"ENSMUSG00000103371",0,0,0,0,0,0
"ENSMUSG00000103372",0,0,0,0,0,0
"ENSMUSG00000103373",2,2,2,3,1,0
"ENSMUSG00000103374",0,0,0,0,0,0
"ENSMUSG00000103375",0,0,0,1,0,0
"ENSMUSG00000103376",0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0
"ENSMUSG00000103378",0,0,0,0,0,0
"ENSMUSG00000103379",0,0,0,0,0,0
"ENSMUSG00000103382",3,0,1,7,10,7
"ENSMUSG00000103385",0,0,0,0,0,0
"ENSMUSG00000103387",0,0,0,0,0,0
"ENSMUSG00000103388",1,0,0,2,6,4
"ENSMUSG00000103389",0,0,0,0,0,0
"ENSMUSG00000103390",0,0,0,0,0,0
"ENSMUSG00000103391",0,0,0,0,0,0
"ENSMUSG00000103392",0,0,0,0,0,0
"ENSMUSG00000103394",0,0,0,0,0,0
"ENSMUSG00000103395",0,0,0,0,0,0
"ENSMUSG00000103396",0,0,0,0,0,0
"ENSMUSG00000103397",0,0,0,0,0,0
"ENSMUSG00000103398",0,0,0,1,0,1
"ENSMUSG00000103399",0,0,0,0,0,0
"ENSMUSG00000103401",0,0,0,0,0,0
"ENSMUSG00000103402",0,0,0,0,0,0
"ENSMUSG00000103403",11.4,11.82,15.2,4.78,3.52,5.67
"ENSMUSG00000103404",2.15,7,2.17,0,5.02,0
"ENSMUSG00000103406",2,0,0,1,2.21,0
"ENSMUSG00000103407",0,0,0,0,0,0
"ENSMUSG00000103410",0,0,0,0,0,0
"ENSMUSG00000103411",0,0,0,1,1,1
"ENSMUSG00000103412",0,0,0,0,0,0
"ENSMUSG00000103415",0,2,0,2,2,1
"ENSMUSG00000103416",0,0,0,0,0,0
"ENSMUSG00000103417",0,0,0,0,0,0
"ENSMUSG00000103419",0,0,0,0,0,0
"ENSMUSG00000103420",0,0,0,0,0,0
"ENSMUSG00000103421",0,0,0,0,2,0
"ENSMUSG00000103422",1.88,2.85,1.44,9.13,11.12,4.24
"ENSMUSG00000103423",0,1.07,1.02,0,0,0
"ENSMUSG00000103424",0,0,0,0,0,0
"ENSMUSG00000103426",0,0,0,0,0,0
"ENSMUSG00000103427",0,0,0,5,6,8
"ENSMUSG00000103430",0,0,0,0,0,0
"ENSMUSG00000103432",0,0,0,0,0,1
"ENSMUSG00000103433",0,0,0,0,0,0
"ENSMUSG00000103434",0,0,0,0,0,0
"ENSMUSG00000103437",0,0,0,0,0,0
"ENSMUSG00000103438",0,0,0,0,0,0
"ENSMUSG00000103439",0,0,0,0,0,0
"ENSMUSG00000103440",4,0,2,2,6,6
"ENSMUSG00000103441",0,0,0,0,0,0
"ENSMUSG00000103442",0,0,0,0,0,0
"ENSMUSG00000103443",0,0,0,4,3,1
"ENSMUSG00000103444",0,0,0,0,0,0
"ENSMUSG00000103445",0,0,0,0,0,0
"ENSMUSG00000103446",0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0
"ENSMUSG00000103452",1,0,0,0,1,0
"ENSMUSG00000103454",0,0,0,0,0,0
"ENSMUSG00000103457",0,0,0,0,0,0
"ENSMUSG00000103458",0,0,0,0,0,0
"ENSMUSG00000103460",0,0,0,0,0,0
"ENSMUSG00000103461",0,0,0,0,0,0
"ENSMUSG00000103463",0,0,0,0,0,0
"ENSMUSG00000103465",0,0,0,0,0,0
"ENSMUSG00000103466",0,0,0,0,0,0
"ENSMUSG00000103467",0,1,3,4,4,12
"ENSMUSG00000103468",0,0,0,0,0,0
"ENSMUSG00000103469",1,0,0,5.09,5.11,5
"ENSMUSG00000103470",0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0
"ENSMUSG00000103472",7.33,0,0,29.21,40.38,29.26
"ENSMUSG00000103475",30.03,28,25.54,34.91,73.59,70.99
"ENSMUSG00000103476",0,0,0,0,0,0
"ENSMUSG00000103477",0,0,0,0,0,0
"ENSMUSG00000103479",0,0,0,0,0,0
"ENSMUSG00000103481",0,0,0,0,0,0
"ENSMUSG00000103482",0,0,0,0,0,0
"ENSMUSG00000103483",0,0,0,0,0,0
"ENSMUSG00000103484",0,0,0,0,0,0
"ENSMUSG00000103485",0,0,0,0,0,0
"ENSMUSG00000103486",8.77,5.54,7.43,9.82,18.96,23.28
"ENSMUSG00000103487",0,0,0,0,0,0
"ENSMUSG00000103488",0,0,0,0,0,0
"ENSMUSG00000103491",0,0,0,0,0,0
"ENSMUSG00000103492",0,0,1,1,2,1.25
"ENSMUSG00000103493",1,0,0,3,0,0
"ENSMUSG00000103494",0,0,0,0,0,0
"ENSMUSG00000103495",0,0,0,0,0,0
"ENSMUSG00000103497",1,0,2,1,2,3
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103499",0,0,0,0,0,0
"ENSMUSG00000103500",0,0,0,0,0,0
"ENSMUSG00000103501",0,0,0,0,0,0
"ENSMUSG00000103504",0,0,0,0,0,0
"ENSMUSG00000103505",2.84,3.94,4.93,1.77,1.01,1
"ENSMUSG00000103506",0,0,1.03,5.51,1.01,3
"ENSMUSG00000103507",3,2,2,5,1,3
"ENSMUSG00000103509",1.2,4.42,6.07,13.03,8.26,20.7
"ENSMUSG00000103511",0,0,0,0,0,0
"ENSMUSG00000103512",0,0,0,0,0,0
"ENSMUSG00000103513",0,0,0,0,1,0
"ENSMUSG00000103514",0,0,0,0,0,0
"ENSMUSG00000103516",0,0,0,0,0,0
"ENSMUSG00000103518",0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0
"ENSMUSG00000103520",7,5,6,11,38,26
"ENSMUSG00000103521",0,0,0,0,0,0
"ENSMUSG00000103522",0,0,0,0,0,0
"ENSMUSG00000103523",0,0,0,12,24,6
"ENSMUSG00000103525",0,0,0,1,1,2
"ENSMUSG00000103526",0,0,0,0,0,0
"ENSMUSG00000103527",62,21,20,138,189,199
"ENSMUSG00000103528",0,0,0,0,0,0
"ENSMUSG00000103529",0,0,0,0,0,0
"ENSMUSG00000103531",0,0,0,0,0,0
"ENSMUSG00000103532",1,5,4.01,3,1.95,5
"ENSMUSG00000103533",0,0,0,0,1,0
"ENSMUSG00000103534",0,0,0,0,0,0
"ENSMUSG00000103535",0,0,0,0,0,0
"ENSMUSG00000103536",0,0,0,0,0,0
"ENSMUSG00000103537",0,0,0,0,0,0
"ENSMUSG00000103538",0,0,0,0,0,0
"ENSMUSG00000103539",0,3,0,2,4.63,5.11
"ENSMUSG00000103540",0,0,0,0,0,0
"ENSMUSG00000103541",0,0,0,0,0,0
"ENSMUSG00000103542",0,0,0,0,0,0
"ENSMUSG00000103543",3,2,2,4,5,2
